song,artist,username,total_plays,time_since_play,avg_play_hour,avg_play_day,total_weekend_plays,total_artist_plays,artist_distinct_songs,artist_max_song_count,artist_max_song_percent,percent_of_artist_play,song_rank,artist_rank
The Drugs Don't Work,The Verve,rosiedempsey93,2,75168,17.5,2.0,0,12,5,3,0.25,0.16666666666666666,852,111.0
Black Betty,Ram Jam,rosiedempsey93,1,68568,19.0,4.0,0,1,1,1,1.0,1.0,1546,428.0
Black Gold,Ill Camille,COKUNUBI,1,3603,13.0,1.0,0,3,3,1,0.3333333333333333,0.3333333333333333,4185,434.0
Live It Up,Ill Camille,COKUNUBI,1,3003,13.0,1.0,0,3,3,1,0.3333333333333333,0.3333333333333333,4165,434.0
São Paulo,Ill Camille,COKUNUBI,1,3303,13.0,1.0,0,3,3,1,0.3333333333333333,0.3333333333333333,4163,434.0
Black Hole Sun,Soundgarden,rosiedempsey93,4,74388,12.5,3.5,1,11,3,4,0.36363636363636365,0.36363636363636365,464,118.0
Fell on Black Days,Soundgarden,rosiedempsey93,4,81168,14.75,2.5,0,11,3,4,0.36363636363636365,0.36363636363636365,448,118.0
Spoonman,Soundgarden,rosiedempsey93,3,60348,14.0,2.0,0,11,3,4,0.36363636363636365,0.2727272727272727,639,118.0
Black Magic Woman,Santana,COKUNUBI,3,73983,16.333333333333332,5.666666666666667,3,3,1,3,1.0,1.0,1168,434.0
Black Man In A White World,Michael Kiwanuka,COKUNUBI,2,77043,17.5,1.0,0,50,23,5,0.1,0.04,1600,61.0
Bones,Michael Kiwanuka,COKUNUBI,2,75843,17.5,1.0,0,50,23,5,0.1,0.04,1320,61.0
Cold Little Heart ,Michael Kiwanuka,COKUNUBI,2,79323,17.0,1.0,0,50,23,5,0.1,0.04,1321,61.0
Falling,Michael Kiwanuka,COKUNUBI,1,74343,17.0,1.0,0,50,23,5,0.1,0.02,4135,61.0
Home Again,Michael Kiwanuka,COKUNUBI,3,78483,14.0,1.0,0,50,23,5,0.1,0.06,1165,61.0
